location,species_code,forest,distance,left_amplitude,right_amplitude
PB-ASP10-25,NSWO,AS,25,-28.7,-30.14
PB-ASP10-25,VESP,AS,25,-19.82,-20.97
PB-ASP10-25,CCSP,AS,25,-23.03,-22.02
PB-ASP10-25,BOCH,AS,25,-29.22,-29.95
PB-ASP10-25,CSWA,AS,25,-21.95,-19.52
PB-ASP10-25,BOCH,AS,25,-37.03,-37.44
PB-ASP10-25,BRBL,AS,25,-19.0,-18.9
PB-ASP10-25,AMCR,AS,25,-17.58,-23.58
PB-ASP10-25,WEME,AS,25,-14.44,-18.72
PB-ASP10-25,MAWR,AS,25,-14.87,-19.58
PB-ASP10-25,MGWA,AS,25,-23.6,-24.03
PB-ASP10-25,ALFL,AS,25,-19.78,-18.81
PB-ASP10-25,DEJU,AS,25,-26.25,-24.54
PB-ASP10-25,NSWO,AS,25,-13.52,-22.25
PB-ASP10-25,AMRO,AS,25,-10.17,-13.2
PB-ASP10-74,BADO,AS,74,-35.33,-37.54
PB-ASP10-74,VESP,AS,74,-33.27,-35.18
PB-ASP10-74,CCSP,AS,74,-42.85,-40.97
PB-ASP10-74,CSWA,AS,74,-39.78,-37.15
PB-ASP10-74,BRBL,AS,74,-36.74,-35.68
PB-ASP10-74,AMCR,AS,74,-31.58,-14.48
PB-ASP10-74,WEME,AS,74,-30.86,-9.95
PB-ASP10-74,MAWR,AS,74,-33.62,-34.73
PB-ASP10-74,MGWA,AS,74,-34.01,-37.26
PB-ASP10-74,ALFL,AS,74,-34.41,-34.0
PB-ASP10-74,DEJU,AS,74,-41.27,-38.55
PB-ASP10-74,NSWO,AS,74,-26.43,-16.84
PB-ASP10-74,AMRO,AS,74,-29.53,-30.48
PB-ASP10-87,VESP,AS,87,-37.19,-40.51
PB-ASP10-87,CCSP,AS,87,-45.7,-44.64
PB-ASP10-87,CSWA,AS,87,-41.52,-42.01
PB-ASP10-87,BRBL,AS,87,-46.67,-46.96
PB-ASP10-87,AMCR,AS,87,-34.5,-37.02
PB-ASP10-87,WEME,AS,87,-35.6,-34.86
PB-ASP10-87,MAWR,AS,87,-39.3,-40.8
PB-ASP10-87,MGWA,AS,87,-39.76,-43.74
PB-ASP10-87,ALFL,AS,87,-39.65,-40.51
PB-ASP10-87,DEJU,AS,87,-46.28,-45.7
PB-ASP10-87,NSWO,AS,87,-32.49,-35.35
PB-ASP10-87,AMRO,AS,87,-33.32,-35.16
PB-ASP1-110,NSWO,AS,110,-32.61,-27.88
PB-ASP1-110,WEME,AS,110,-37.52,-36.89
PB-ASP1-110,VESP,AS,110,-40.91,-41.98
PB-ASP1-110,AMRO,AS,110,-38.55,-35.74
PB-ASP11-147,VESP,AS,147,-36.4,-40.12
PB-ASP11-147,BRBL,AS,147,-35.01,-42.63
PB-ASP11-147,AMCR,AS,147,-37.82,-36.49
PB-ASP11-147,WEME,AS,147,-35.25,-47.32
PB-ASP11-147,ALFL,AS,147,-39.28,-45.2
PB-ASP11-147,NSWO,AS,147,-39.06,-46.5
PB-ASP11-147,AMRO,AS,147,-44.07,-48.16
PB-ASP11-15,BADO,AS,15,-18.02,-24.6
PB-ASP11-15,VESP,AS,15,-3.79,-11.14
PB-ASP11-15,CCSP,AS,15,-13.28,-15.41
PB-ASP11-15,BOCH,AS,15,-18.83,-21.05
PB-ASP11-15,CSWA,AS,15,-9.45,-11.26
PB-ASP11-15,LCSP,AS,15,-33.66,-33.26
PB-ASP11-15,BRBL,AS,15,-9.97,-14.19
PB-ASP11-15,AMCR,AS,15,-17.29,-19.7
PB-ASP11-15,WEME,AS,15,-9.25,-15.95
PB-ASP11-15,MAWR,AS,15,-10.62,-14.08
