,location,recording_date_time,species_code,Year_since_logging,mean_amp,SM2
0,H22-CC-0,2022-06-16 05:07:00,TEWA,9,-23.525,0
1,H22-CC-0,2022-06-16 05:07:00,RCKI,9,-37.265,0
2,H22-CC-0,2022-06-16 05:37:00,TEWA,9,-26.68,0
3,H22-CC-0,2022-06-16 05:52:00,TEWA,9,-26.15,0
4,H22-CC-0,2022-06-16 05:52:00,WTSP,9,-39.015,0
5,H22-CC-0,2022-06-16 06:07:00,TEWA,9,-27.32,0
6,H22-CC-0,2022-06-16 06:07:00,WTSP,9,-39.565,0
7,H22-CC-0,2022-06-16 06:22:00,TEWA,9,-24.23,0
8,H22-CC-0,2022-06-16 06:37:00,TEWA,9,-25.31,0
9,H22-CC-0,2022-06-16 06:37:00,WTSP,9,-35.27,0
10,H22-CC-0,2022-06-16 06:52:00,TEWA,9,-25.63,0
11,H22-CC-0,2022-06-16 06:52:00,YRWA,9,-22.51,0
12,H22-CC-0,2022-06-16 07:07:00,TEWA,9,-20.82,0
13,H22-CC-0,2022-06-16 07:07:00,WTSP,9,-40.325,0
14,H22-CC-0,2022-06-17 05:06:00,TEWA,9,-27.87,0
15,H22-CC-0,2022-06-17 05:36:00,TEWA,9,-18.68,0
16,H22-CC-0,2022-06-17 05:51:00,WTSP,9,-40.695,0
17,H22-CC-0,2022-06-17 05:51:00,YRWA,9,-40.115,0
18,H22-CC-0,2022-06-17 05:51:00,TEWA,9,-34.129999999999995,0
19,H22-CC-0,2022-06-17 05:51:00,RCKI,9,-38.13,0
20,H22-CC-0,2022-06-17 06:06:00,TEWA,9,-31.38,0
21,H22-CC-0,2022-06-17 06:21:00,YRWA,9,-23.695,0
22,H22-CC-0,2022-06-17 06:21:00,TEWA,9,-15.57,0
23,H22-CC-0,2022-06-17 06:36:00,TEWA,9,-29.785,0
24,H22-CC-0,2022-06-17 06:51:00,TEWA,9,-21.29,0
25,H22-CC-0,2022-06-17 07:06:00,TEWA,9,-24.705,0
26,H22-CC-0,2022-06-18 05:06:00,WTSP,9,-44.69,0
27,H22-CC-0,2022-06-18 05:06:00,TEWA,9,-29.38,0
