location,SM2
PB-ASP1-110,1
PB-ASP1-129,1
PB-ASP1-67,1
PB-ASP9-47,0
PB-ASP9-72,0
PB-ASP9-79,0
PB-BLSP1-103,0
PB-BLSP1-34,0
PB-BLSP1-71,0
PB-ASP2-23,0
PB-ASP2-61,0
PB-ASP2-75,0
PB-ASP3-29,0
PB-ASP3-49,0
PB-ASP3-86,0
PB-ASP4-21,1
PB-ASP4-56,1
PB-ASP4-71,1
PB-ASP5-127,0
PB-ASP5-137,0
PB-ASP5-149,0
PB-ASP6-36,0
PB-ASP6-44,0
PB-ASP6-46,0
PB-ASP7-27,0
PB-ASP7-52,0
PB-ASP7-58,0
PB-ASP8-117,1
PB-ASP8-70,1
PB-ASP8-97,1
PB-MIX1-47,0
PB-MIX1-52,0
PB-MIX1-79,0
PB-PIN1-140,1
PB-PIN1-36,1
PB-PIN1-70,1
PB-OP1-103,0
PB-OP1-119,0
PB-OP1-142,0
PB-OP2-131,0
PB-OP2-25,1
PB-OP2-62,1
PB-OP3-112,0
PB-OP3-67,0
PB-OP3-76,0
PB-OP4-129,1
PB-OP4-137,1
PB-OP4-38,1
PB-PIN2-101,0
PB-PIN2-134,0
PB-PIN2-47,0
PB-OP5-109,0
PB-OP5-45,0
PB-OP5-87,0
PB-PIN3-132,0
PB-PIN3-25,0
PB-PIN3-86,0
PB-PIN4-49,0
PB-PIN4-55,0
PB-PIN4-88,0
PB-OP6-17,0
PB-OP6-52,0
PB-OP6-63,0
PB-OP8-65,0
PB-OP8-87,0
PB-OP8-88,0
PB-BLSP2-102,1
PB-BLSP2-39,1
PB-BLSP2-70,1
PB-SPR1-28,1
PB-SPR1-80,1
PB-SPR1-92,1
PB-OP10-118,1
PB-OP10-136,1
PB-OP10-78,1
PB-OP11-22,1
PB-PIN5-132,1
PB-PIN5-32,1
PB-PIN5-87,1
PB-PIN6-144,1
PB-PIN6-30,1
PB-PIN6-45,1
PB-OP13-134,1
PB-OP13-143,1
PB-OP13-75,1
PB-BLSP3-50,1
PB-BLSP3-64,1
PB-BLSP3-85,1
PB-ASP11-147,0
PB-ASP11-15,0
PB-ASP11-22,0
PB-ASP12-31,1
PB-ASP12-82,1
PB-ASP12-87,1
PB-OP14-119,0
PB-OP14-141,0
PB-OP14-26,0
PB-ASP13-39,0
PB-ASP13-56,0
PB-ASP13-64,0
PB-PIN7-117,0
PB-PIN7-146,0
PB-PIN7-49,0
PB-PIN8-141,0
PB-PIN8-33,0
PB-PIN8-33,0
PB-PIN8-88,0
PB-SPR2-124,0
PB-SPR2-30,0
PB-SPR2-60,0
PB-MIX3-112,0
PB-MIX3-70,0
PB-MIX3-83,0
PB-MIX4-101,0
PB-MIX4-116,0
PB-MIX4-20,0
PB-OP15-22,0
PB-OP15-49,0
PB-OP15-82,0
PB-PIN9-125,0
PB-PIN9-48,0
PB-PIN9-69,0
PB-BLSP5-106,0
PB-BLSP5-140,0
PB-BLSP5-88,0
PB-BLSP6-105,0
PB-BLSP6-61,0
PB-BLSP6-97,0
PB-SPR3-26,0
PB-SPR3-49,0
PB-SPR3-52,0
PB-SPR4-123,0
PB-SPR4-130,0
PB-SPR4-56,0
PB-OP16-21,0
PB-OP16-71,0
PB-OP16-88,0
PB-ASP15-35,0
PB-ASP15-47,0
PB-ASP15-64,0
PB-ASP16-46,1
PB-ASP16-48,1
PB-ASP16-88,1
PB-ASP17-111,1
PB-ASP17-143,1
PB-ASP17-85,1
PB-OP17-27,1
PB-OP17-40,1
PB-OP17-47,1
PB-OP18-143,1
PB-OP18-22,1
PB-OP18-44,1
PB-OP20-20,1
PB-OP20-56,1
PB-OP20-87,1
PB-OP21-106,1
PB-OP21-110,1
PB-OP21-86,1
PB-ASP10-25,0
PB-ASP10-74,0
PB-ASP10-87,0
PB-OP7-77,0
PB-OP7-96,0
