location,number_of_visits
H-CC-2-13,3
H22-RS-84,7
H-RS-6-53,8
H-RS-2-8,9
H-RS-6-14,9
H-CC-21-38,10
H-RS-2-59,10
H-CC-12-11,11
H-CC-6-6,11
H-RS-1-20N,11
H-RS-12-8,11
H-RS-2-10,11
H-RS-2-9,11
H-RS-29-44,11
H-RS-9-38,11
RETN-23-3,11
H-RS-1-84N,12
H-RS-29-25,12
H-RS-9-7,12
H22-CC-83,12
OG-37-128-B,12
RETNO-1-23,12
RETNO-2-88,12
H-CC-2-58,13
H-N10-3-54,13
H-N15-30-43,13
H-RS-22-47,13
H22-RS-76,13
RETN-28-1,13
RETNO-2-105,13
RETNO-2-92,13
RETNO-3-2,13
H-CC-22-33,14
H-CC-29-27,14
H-N10-3-24,14
H-N15-22-44,14
H-RS-1-98,14
H-RS-12-7,14
H-RS-2-11,14
H-RS-2-12,14
H-RS-2-48,14
H-RS-21-19,14
H-RS-21-36,14
H-RS-22-45,14
H-RS-22-46,14
H-RS-29-36,14
H-RS-3-21,14
H-RS-5-60,14
H-RS-6-32,14
H-RS-6-45,14
H-RS-7-52,14
H22-CC-11,14
H22-CC-257,14
H22-CC-275,14
H22-CC-30,14
H22-CC-85,14
H22-RS-255,14
H22-RS-319,14
H22-RS-82,14
H23-RS-185,14
RETNO-1-35,14
RETNO-2-100,14
RETNO-2-120,14
RETNO-2-22,14
RETNO-2-55,14
RETNO-2-72,14
RETNO-2-97,14
AM-429-NW,15
BG-6-94,15
FMX-2-18-2,15
H-CC-1-101,15
H-CC-1-104,15
H-CC-1-108N,15
H-CC-1-118N,15
H-CC-1-122,15
H-CC-1-125,15
H-CC-1-17N,15
H-CC-1-21N,15
H-CC-1-33N,15
H-CC-1-38N,15
H-CC-1-44N,15
H-CC-1-52N,15
H-CC-1-65N,15
H-CC-1-69N,15
H-CC-1-92N,15
H-CC-1-99,15
H-CC-10-14,15
H-CC-21-30,15
H-CC-22-35,15
H-CC-29-46,15
H-CC-3-2,15
