location,recording_date_time
H-RS-31-29,2021-05-27 5:40
H-RS-29-25,2021-05-27 6:20
H-RS-29-25,2021-05-27 7:00
H-RS-31-29,2021-05-27 7:00
H-CC-29-27,2021-05-27 8:20
H-RS-29-25,2021-05-27 9:20
H-CC-31-26,2021-05-28 7:00
H-RS-31-29,2021-05-28 7:20
H-CC-31-26,2021-05-28 7:40
H-RS-29-25,2021-05-28 8:00
H-RS-29-25,2021-05-28 8:20
H-CC-31-26,2021-05-28 8:40
H-CC-31-26,2021-05-28 9:00
H-RS-31-29,2021-05-28 9:00
H-RS-29-25,2021-05-29 5:40
H-RS-29-26,2021-05-29 5:40
H-RS-29-33,2021-05-29 5:40
H-CC-29-46,2021-05-29 6:00
H-RS-29-25,2021-05-29 6:00
H-RS-29-26,2021-05-29 6:00
H-CC-29-27,2021-05-29 6:20
H-CC-29-46,2021-05-29 6:20
H-CC-31-26,2021-05-29 6:20
H-CC-29-27,2021-05-29 6:40
H-RS-29-36,2021-05-29 6:40
H-RS-31-29,2021-05-29 6:40
H-RS-29-25,2021-05-29 7:00
H-RS-29-33,2021-05-29 7:00
H-RS-19-91,2021-05-29 7:20
H-CC-29-46,2021-05-29 7:40
H-RS-29-44,2021-05-29 7:40
H-CC-29-46,2021-05-29 8:00
H-RS-31-29,2021-05-29 8:00
H-CC-29-27,2021-05-29 8:20
H-CC-31-26,2021-05-29 8:20
H-RS-29-36,2021-05-29 8:20
H-RS-29-44,2021-05-29 8:20
H-CC-31-26,2021-05-29 8:40
H-RS-29-33,2021-05-29 8:40
H-CC-29-46,2021-05-29 9:00
H-CC-31-26,2021-05-29 9:00
H-RS-19-91,2021-05-29 9:00
H-RS-29-36,2021-05-29 9:00
H-RS-31-29,2021-05-29 9:00
H-CC-29-27,2021-05-29 9:20
H-RS-31-29,2021-05-29 9:20
H-RS-29-26,2021-05-30 5:40
H-RS-29-36,2021-05-30 5:40
H-RS-29-25,2021-05-30 6:00
H-RS-29-26,2021-05-30 6:00
H-RS-29-33,2021-05-30 6:00
H-RS-29-44,2021-05-30 6:00
H-RS-29-25,2021-05-30 6:20
H-RS-29-33,2021-05-30 6:20
H-RS-29-44,2021-05-30 6:20
H-RS-31-29,2021-05-30 6:20
H-CC-29-27,2021-05-30 6:40
H-CC-31-26,2021-05-30 6:40
H-RS-29-25,2021-05-30 6:40
H-RS-29-26,2021-05-30 6:40
H-RS-29-33,2021-05-30 6:40
H-RS-29-36,2021-05-30 6:40
H-RS-29-44,2021-05-30 6:40
H-CC-29-27,2021-05-30 7:00
H-RS-29-26,2021-05-30 7:00
H-CC-29-46,2021-05-30 7:20
H-RS-29-44,2021-05-30 7:20
H-CC-31-26,2021-05-30 7:40
H-RS-31-29,2021-05-30 7:40
H-CC-29-46,2021-05-30 8:00
H-RS-29-26,2021-05-30 8:00
H-RS-29-33,2021-05-30 8:00
H-RS-31-29,2021-05-30 8:00
H-CC-29-46,2021-05-30 8:20
H-RS-29-26,2021-05-30 8:20
H-CC-29-27,2021-05-30 8:40
H-RS-29-36,2021-05-30 8:40
H-RS-29-33,2021-05-30 9:00
H-RS-29-26,2021-05-30 9:20
H-RS-29-33,2021-05-30 9:20
H-CC-29-46,2021-05-31 5:40
H-RS-19-91,2021-05-31 5:40
H-RS-29-26,2021-05-31 5:40
