organization,project,project_id,location,location_id,recording_date_time,recording_id,task_method,task_id,is_complete,species_code,species_common_name,species_scientific_name,species_class,detection_time,task_duration,tag_duration,min_tag_freq,max_tag_freq,tag_id,individual_order,vocalization,abundance,tag_rating,tag_is_verified,clip_channel_used,observer,observer_id,verifier_id,needs_review,left_full_freq_tag_rms_peak_dbfs,left_full_freq_tag_rms_trough_dbfs,left_full_freq_tag_pk_count,left_full_freq_tag_dc_offset,left_full_freq_tag_min_level,left_full_freq_tag_max_level,left_full_freq_tag_peak_level_dbfs,left_freq_filter_tag_rms_peak_dbfs,left_freq_filter_tag_rms_trough_dbfs,left_freq_filter_tag_pk_count,left_freq_filter_tag_dc_offset,left_freq_filter_tag_min_level,left_freq_filter_tag_max_level,left_freq_filter_tag_peak_level_dbfs,right_full_freq_tag_rms_peak_dbfs,right_full_freq_tag_rms_trough_dbfs,right_full_freq_tag_pk_count,right_full_freq_tag_dc_offset,right_full_freq_tag_min_level,right_full_freq_tag_max_level,right_full_freq_tag_peak_level_dbfs,right_freq_filter_tag_rms_peak_dbfs,right_freq_filter_tag_rms_trough_dbfs,right_freq_filter_tag_pk_count,right_freq_filter_tag_dc_offset,right_freq_filter_tag_min_level,right_freq_filter_tag_max_level,right_freq_filter_tag_peak_level_dbfs,tagged_in_wildtrax,media_url,spectrogram_url,clip_url
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2024,2967,DOC213-FR-C,492653,2024-06-04 5:12,2757373,1SPT,2499542,t,OCWA,Orange-crowned Warbler,LEIOTHLYPIS CELATA,Aves,11.61,180,0.91,3.66kHz,5.77kHz,5214777,1,Song,1,,f,1,Leonard Patterson,2623,,f,-28.28,-29.07,2,0.036615,0.022247,0.050934,-25.86,-55.37,-60.93,2,-0.000001,-0.006256,0.006653,-43.54,-29.3,-32.54,2,0.028257,0.006958,0.045654,-26.81,-59.24,-62.23,2,0,-0.004272,0.003845,-47.39,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2499542,https://wildtrax-aru.s3-accelerate.amazonaws.com/66b9152d-2f95-45b3-9335-5c8002ca94a3/8ae0a9ba0a38400dbaada73ae7537a34.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/66b9152d-2f95-45b3-9335-5c8002ca94a3/65cd72a234b34f7896f491f0208e3656.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2024,2967,DOC213-FR-C,492653,2024-06-04 5:12,2757373,1SPT,2499542,t,OCWA,Orange-crowned Warbler,LEIOTHLYPIS CELATA,Aves,12.58,180,0.91,4.12kHz,5.97kHz,5214778,2,Song,1,,f,2,Leonard Patterson,2623,,f,-27.78,-29.58,2,0.036934,0.00296,0.072632,-22.78,-61.69,-64.6,2,0,-0.004181,0.003387,-47.57,-27.05,-31.73,2,0.028436,-0.049683,0.119171,-18.48,-60.39,-64.43,2,0,-0.003937,0.003845,-48.1,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2499542,https://wildtrax-aru.s3-accelerate.amazonaws.com/66b9152d-2f95-45b3-9335-5c8002ca94a3/4536d501836047ffbd74d0f33c619276.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/66b9152d-2f95-45b3-9335-5c8002ca94a3/62426431fc6a4b96a05578894b7a0a1e.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2024,2967,DOC213-FR-C,492653,2024-06-04 5:12,2757373,1SPT,2499542,t,SWTH,Swainson's Thrush,CATHARUS USTULATUS,Aves,35.08,180,1.9,1.08kHz,8.03kHz,5214775,1,Song,1,,f,2,Leonard Patterson,2623,,f,-25.52,-29.96,2,0.036598,-0.013763,0.097504,-20.22,-37.25,-58.69,2,-0.000002,-0.033783,0.031738,-29.43,-26.46,-32.98,2,0.028555,-0.058075,0.117126,-18.63,-28.01,-59.09,2,-0.000002,-0.085388,0.086182,-21.29,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2499542,https://wildtrax-aru.s3-accelerate.amazonaws.com/66b9152d-2f95-45b3-9335-5c8002ca94a3/4655b22acfb2466da5227f0a54efbe4a.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/66b9152d-2f95-45b3-9335-5c8002ca94a3/1bbd1e555c4f4b54ab111a3cc06c0aff.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2024,2967,DOC213-FR-C,492653,2024-06-04 5:12,2757373,1SPT,2499542,t,WETA,Western Tanager,PIRANGA LUDOVICIANA,Aves,59.93,180,1.09,1.91kHz,3.30kHz,5214815,1,Song,1,,f,2,Leonard Patterson,2623,,f,-28.33,-29.14,2,0.036657,0.023315,0.050201,-25.99,-63.47,-65.74,2,-0.000001,-0.005646,0.00412,-44.97,-30.21,-31.13,2,0.028863,0.015747,0.042145,-27.51,-57.77,-65.75,2,-0.000001,-0.004578,0.004242,-46.79,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2499542,https://wildtrax-aru.s3-accelerate.amazonaws.com/66b9152d-2f95-45b3-9335-5c8002ca94a3/56cc66366a64484ca34d350396c00780.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/66b9152d-2f95-45b3-9335-5c8002ca94a3/fe06e226db174b7195526d6411d8a0b0.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2024,2967,DOC213-FR-C,492653,2024-06-04 5:12,2757373,1SPT,2499542,t,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,Aves,72.46,180,1.29,2.68kHz,3.97kHz,5214788,1,Song,1,,f,1,Leonard Patterson,2623,,f,-24.88,-29.47,2,0.036483,-0.047363,0.103668,-19.69,-60.62,-66.55,2,-0.000001,-0.012756,0.011169,-37.89,-28.15,-32.28,3,0.028562,-0.003632,0.070709,-23.01,-59.12,-64.92,2,0,-0.006042,0.005341,-44.38,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2499542,https://wildtrax-aru.s3-accelerate.amazonaws.com/66b9152d-2f95-45b3-9335-5c8002ca94a3/e5b392cedb074597929c0129bda9623f.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/66b9152d-2f95-45b3-9335-5c8002ca94a3/16f1773de03e46d688dc89d8c6784937.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2024,2967,DOC213-FR-C,492653,2024-06-04 5:12,2757373,1SPT,2499542,t,DUFL,Dusky Flycatcher,EMPIDONAX OBERHOLSERI,Aves,98.35,180,0.33,3.55kHz,6.70kHz,5214779,1,Song,1,,f,2,Leonard Patterson,2623,,f,-28.04,-29.37,2,0.036199,0.015808,0.057434,-24.82,-54.89,-56.74,2,-0.000002,-0.009247,0.006592,-40.68,-30.21,-31.38,2,0.028704,0.008423,0.049927,-26.03,-56.72,-59.89,2,-0.000002,-0.00766,0.005188,-42.32,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2499542,https://wildtrax-aru.s3-accelerate.amazonaws.com/66b9152d-2f95-45b3-9335-5c8002ca94a3/1e9608d20733481b8e5f514570f8ff73.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/66b9152d-2f95-45b3-9335-5c8002ca94a3/0981797fe85d46d383006d7fda5d8c20.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2024,2967,DOC213-FR-C,492653,2024-06-04 5:12,2757373,1SPT,2499542,t,DUFL,Dusky Flycatcher,EMPIDONAX OBERHOLSERI,Aves,98.9,180,0.35,3.91kHz,5.72kHz,5214780,2,Song,1,,f,1,Leonard Patterson,2623,,f,-28.47,-29.03,3,0.036553,0.020813,0.051208,-25.81,-59.96,-63.44,2,-0.000001,-0.004059,0.003387,-47.83,-30.09,-31.96,2,0.028288,0.009552,0.046295,-26.69,-60.41,-63.8,2,-0.000001,-0.003998,0.003357,-47.96,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2499542,https://wildtrax-aru.s3-accelerate.amazonaws.com/66b9152d-2f95-45b3-9335-5c8002ca94a3/1ed26bcc38f4443094d5fe4fb5f5e580.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/66b9152d-2f95-45b3-9335-5c8002ca94a3/edeaec8299d440428ac10b4a741be8b0.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2024,2967,DOC213-FR-C,492653,2024-06-04 5:12,2757373,1SPT,2499542,t,RUGR,Ruffed Grouse,BONASA UMBELLUS,Aves,128.34,180,5.24,0.15kHz,0.93kHz,5214791,1,Non-vocal,1,,f,2,Leonard Patterson,2623,,f,-23.32,-31.22,2,0.036663,-0.085632,0.119385,-18.46,-38.69,-46.63,5,-0.006063,-0.0242,0.015961,-32.32,-22.2,-32.74,2,0.028584,-0.071045,0.147369,-16.63,-37.5,-48.01,4,-0.004728,-0.026642,0.013245,-31.49,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2499542,https://wildtrax-aru.s3-accelerate.amazonaws.com/66b9152d-2f95-45b3-9335-5c8002ca94a3/b8328b88b307489d82e2d385a529752a.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/66b9152d-2f95-45b3-9335-5c8002ca94a3/2389221c9f7241a6bba428c811b4573e.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2024,2967,DOC213-FR-C,492653,2024-06-04 5:12,2757373,1SPT,2499542,t,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,Aves,130.9,180,0.4,3.19kHz,3.81kHz,5214835,2,Song,1,,f,1,Leonard Patterson,2623,,f,-26.03,-29.91,2,0.040385,-0.00824,0.092773,-20.65,-62.63,-66.4,2,-0.000001,-0.002991,0.002686,-50.48,-26.29,-30.5,2,0.031618,-0.025024,0.100708,-19.94,-58.58,-62.02,3,-0.000001,-0.00296,0.002991,-50.48,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2499542,https://wildtrax-aru.s3-accelerate.amazonaws.com/66b9152d-2f95-45b3-9335-5c8002ca94a3/d6cd4b3b7b2c4a71b733b6f9519e39f3.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/66b9152d-2f95-45b3-9335-5c8002ca94a3/2930f251fcf94d5090107bb2075762d9.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2024,2967,DOC213-FR-C,492653,2024-06-04 5:12,2757373,1SPT,2499542,t,SWTH,Swainson's Thrush,CATHARUS USTULATUS,Aves,138.34,180,0.75,2.01kHz,3.50kHz,5214796,2,Song,1,,f,2,Leonard Patterson,2623,,f,-26.98,-30.01,3,0.036476,-0.000793,0.076385,-22.34,-58.15,-63.41,2,-0.000001,-0.006195,0.004456,-44.16,-27.1,-32.43,2,0.028423,-0.013641,0.06778,-23.38,-55.84,-62.66,3,-0.000001,-0.005493,0.004333,-45.2,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2499542,https://wildtrax-aru.s3-accelerate.amazonaws.com/66b9152d-2f95-45b3-9335-5c8002ca94a3/30defe7d01fc460cb8bddb56103b7231.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/66b9152d-2f95-45b3-9335-5c8002ca94a3/9ff3137192ca4e68b883f9efdb004a62.flac
