organization,project,project_id,location,location_id,recording_date_time,recording_id,task_method,task_id,is_complete,species_code,species_common_name,species_scientific_name,species_class,detection_time,task_duration,tag_duration,min_tag_freq,max_tag_freq,tag_id,individual_order,vocalization,abundance,tag_rating,tag_is_verified,clip_channel_used,observer,observer_id,verifier_id,needs_review,left_full_freq_tag_rms_peak_dbfs,left_full_freq_tag_rms_trough_dbfs,left_full_freq_tag_pk_count,left_full_freq_tag_dc_offset,left_full_freq_tag_min_level,left_full_freq_tag_max_level,left_full_freq_tag_peak_level_dbfs,left_freq_filter_tag_rms_peak_dbfs,left_freq_filter_tag_rms_trough_dbfs,left_freq_filter_tag_pk_count,left_freq_filter_tag_dc_offset,left_freq_filter_tag_min_level,left_freq_filter_tag_max_level,left_freq_filter_tag_peak_level_dbfs,right_full_freq_tag_rms_peak_dbfs,right_full_freq_tag_rms_trough_dbfs,right_full_freq_tag_pk_count,right_full_freq_tag_dc_offset,right_full_freq_tag_min_level,right_full_freq_tag_max_level,right_full_freq_tag_peak_level_dbfs,right_freq_filter_tag_rms_peak_dbfs,right_freq_filter_tag_rms_trough_dbfs,right_freq_filter_tag_pk_count,right_freq_filter_tag_dc_offset,right_freq_filter_tag_min_level,right_freq_filter_tag_max_level,right_freq_filter_tag_peak_level_dbfs,tagged_in_wildtrax,media_url,spectrogram_url,clip_url
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2025 Limited Amplitude Processing,3701,DOC213-FR-C,492653,2025-06-07 05:12:00,2894193,1SPT,2622019,t,DUFL,Dusky Flycatcher,EMPIDONAX OBERHOLSERI,Aves,8.96,180.00,0.71,1.95kHz,5.35kHz,5252428,1,Song,1,,f,1,Leonard Patterson,2623,,f,-34.78,-37.68,2,0.014474,-0.003387,0.031403,-30.06,-61.25,-63.34,3,-0.000001,-0.005737,0.00293,-44.83,-34.09,-36.22,2,0.015997,-0.010406,0.041779,-27.58,-57.96,-59.89,2,-0.000001,-0.007843,0.004395,-42.11,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2622019,https://wildtrax-aru.s3-accelerate.amazonaws.com/0e877989-9fe1-4524-a290-babecf1fffd8/84e651a6ea93475797d44b0f4ea3875c.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/0e877989-9fe1-4524-a290-babecf1fffd8/0f2aef13debb44799ff9f78d64903eab.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2025 Limited Amplitude Processing,3701,DOC213-FR-C,492653,2025-06-07 05:12:00,2894193,1SPT,2622019,t,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,Aves,30.34,180.00,3.54,1.98kHz,3.68kHz,5251747,1,Song,1,,f,1,Leonard Patterson,2623,,f,-34.75,-38.1,2,0.01458,-0.003693,0.032257,-29.83,-48.49,-64.71,3,0,-0.007965,0.007629,-41.98,-33.88,-36.69,2,0.015799,-0.012177,0.047241,-26.51,-49.28,-61.5,2,0,-0.00766,0.007874,-42.08,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2622019,https://wildtrax-aru.s3-accelerate.amazonaws.com/0e877989-9fe1-4524-a290-babecf1fffd8/4d96c40d48da49ec997279c68528e579.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/0e877989-9fe1-4524-a290-babecf1fffd8/fc43ac44b5fb42a5a735b8fb5cc394e7.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2025 Limited Amplitude Processing,3701,DOC213-FR-C,492653,2025-06-07 05:12:00,2894193,1SPT,2622019,t,DEJU,Dark-eyed Junco,JUNCO HYEMALIS,Aves,64.52,180.00,2.60,2.13kHz,7.59kHz,5251744,1,Song,1,,f,1,Leonard Patterson,2623,,f,-33.27,-37.32,2,0.014666,-0.04425,0.070557,-23.03,-35.9,-61.3,2,0,-0.055603,0.058105,-24.72,-31.29,-35.85,2,0.015851,-0.064514,0.093048,-20.63,-33.27,-58.11,2,0,-0.073822,0.073303,-22.64,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2622019,https://wildtrax-aru.s3-accelerate.amazonaws.com/0e877989-9fe1-4524-a290-babecf1fffd8/30d6882cf0d3499b8c2587d3aca29242.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/0e877989-9fe1-4524-a290-babecf1fffd8/e4cc96b53649464ab2a3ce0ad1017398.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2025 Limited Amplitude Processing,3701,DOC213-FR-C,492653,2025-06-07 05:12:00,2894193,1SPT,2622019,t,WAVI,Warbling Vireo,VIREO GILVUS,Aves,78.08,180.00,1.30,1.90kHz,4.63kHz,5252429,1,Song,1,,f,1,Leonard Patterson,2623,,f,-35.56,-38.13,2,0.014553,0.000549,0.028931,-30.77,-60.71,-64.06,4,0,-0.004517,0.002991,-46.9,-34,-36.5,2,0.015713,-0.007141,0.043549,-27.22,-58.84,-60.61,3,0,-0.006226,0.003967,-44.12,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2622019,https://wildtrax-aru.s3-accelerate.amazonaws.com/0e877989-9fe1-4524-a290-babecf1fffd8/b77f7c4e6b05446295ab21729e09220b.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/0e877989-9fe1-4524-a290-babecf1fffd8/c8082df19ab448f3aa2602b0b0f1caba.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2025 Limited Amplitude Processing,3701,DOC213-FR-C,492653,2025-06-07 05:12:00,2894193,1SPT,2622019,t,OCWA,Orange-crowned Warbler,LEIOTHLYPIS CELATA,Aves,93.07,180.00,1.30,3.78kHz,7.08kHz,5251745,1,Song,1,,f,1,Leonard Patterson,2623,,f,-34.45,-37.77,2,0.014629,0.000092,0.031128,-30.14,-59,-62.29,2,0,-0.005402,0.005341,-45.35,-34.25,-36.48,2,0.015726,-0.009918,0.040192,-27.92,-58.91,-61.29,2,0,-0.004669,0.004547,-46.62,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2622019,https://wildtrax-aru.s3-accelerate.amazonaws.com/0e877989-9fe1-4524-a290-babecf1fffd8/c672a91cb78c4c318ff7450dd16ac439.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/0e877989-9fe1-4524-a290-babecf1fffd8/ed9f5750d07e4dccbc15d1af48aaac0b.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2025 Limited Amplitude Processing,3701,DOC213-FR-C,492653,2025-06-07 05:12:00,2894193,1SPT,2622019,t,OCWA,Orange-crowned Warbler,LEIOTHLYPIS CELATA,Aves,94.37,180.00,1.48,1.98kHz,7.02kHz,5251746,2,Song,1,,f,2,Leonard Patterson,2623,,f,-35.14,-37.9,2,0.014608,-0.003143,0.032166,-29.85,-52.87,-60.65,2,0,-0.008789,0.008667,-41.12,-33.73,-36.38,2,0.015834,-0.018219,0.048523,-26.28,-48.05,-58.36,2,0,-0.015808,0.014282,-36.02,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2622019,https://wildtrax-aru.s3-accelerate.amazonaws.com/0e877989-9fe1-4524-a290-babecf1fffd8/87c81120fe234beca1cdf986923d2854.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/0e877989-9fe1-4524-a290-babecf1fffd8/715bc19d753048438e0e4dbd9de14713.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2025 Limited Amplitude Processing,3701,DOC213-FR-C,492653,2025-06-07 05:12:00,2894193,1SPT,2622019,t,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,Aves,124.00,180.00,1.94,2.41kHz,4.68kHz,5252430,2,Song,1,,f,1,Leonard Patterson,2623,,f,-34.88,-38.16,2,0.014635,0.000092,0.031403,-30.06,-61.78,-65.26,3,0,-0.00296,0.002747,-50.57,-33.87,-36.36,2,0.015963,-0.006866,0.040741,-27.8,-59.03,-61.55,2,0,-0.004547,0.003937,-46.85,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2622019,https://wildtrax-aru.s3-accelerate.amazonaws.com/0e877989-9fe1-4524-a290-babecf1fffd8/7fd23003c495414aaaaa6c955d88efb5.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/0e877989-9fe1-4524-a290-babecf1fffd8/e4e4b88bb67f43a689583e165b7deaea.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2025 Limited Amplitude Processing,3701,DOC213-FR-C,492653,2025-06-09 05:11:00,3040917,1SPT,2773563,t,SWTH,Swainson's Thrush,CATHARUS USTULATUS,Aves,4.36,180.00,1.45,0.85kHz,5.49kHz,5293222,1,Song,1,,f,1,Leonard Patterson,2623,,f,-34.49,-38.91,2,0.014647,-0.001282,0.029694,-30.55,-55.38,-61.49,2,-0.000001,-0.006042,0.006287,-44.03,-33.66,-36.79,2,0.01565,-0.010345,0.039673,-28.03,-55.55,-57.86,2,-0.000001,-0.0065,0.005493,-43.74,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2773563,https://wildtrax-aru.s3-accelerate.amazonaws.com/2b2cd1de-c592-48eb-bde6-6f82ea745b02/1e916cc44a0049b385992212d6927328.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/2b2cd1de-c592-48eb-bde6-6f82ea745b02/5bcb5469f59a435faa9bd63ecd0422e5.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2025 Limited Amplitude Processing,3701,DOC213-FR-C,492653,2025-06-09 05:11:00,3040917,1SPT,2773563,t,OCWA,Orange-crowned Warbler,LEIOTHLYPIS CELATA,Aves,5.77,180.00,1.76,2.24kHz,8.11kHz,5293213,1,Song,1,,f,1,Leonard Patterson,2623,,f,-31.87,-37.51,2,0.014703,-0.040771,0.079468,-22,-35.08,-59.85,2,0,-0.058594,0.057861,-24.64,-33.68,-36.23,2,0.015709,-0.023224,0.052643,-25.57,-40.35,-58.93,2,0,-0.029053,0.029694,-30.55,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2773563,https://wildtrax-aru.s3-accelerate.amazonaws.com/2b2cd1de-c592-48eb-bde6-6f82ea745b02/68810ab1a0ae419091036a3bb6228d45.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/2b2cd1de-c592-48eb-bde6-6f82ea745b02/29f27a032402498388f7a3d0dc8fc857.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2025 Limited Amplitude Processing,3701,DOC213-FR-C,492653,2025-06-09 05:11:00,3040917,1SPT,2773563,t,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,Aves,11.63,180.00,1.86,3.07kHz,4.92kHz,5293224,1,Song,1,,f,1,Leonard Patterson,2623,,f,-34.76,-38.16,2,0.014599,0.000793,0.029388,-30.64,-60.06,-67.5,2,0,-0.003296,0.003326,-49.56,-33.83,-36.81,2,0.015667,-0.005554,0.040039,-27.95,-59.22,-64.59,2,0,-0.003632,0.00354,-48.8,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2773563,https://wildtrax-aru.s3-accelerate.amazonaws.com/2b2cd1de-c592-48eb-bde6-6f82ea745b02/15c5ce3060d04facaf77c9a0410f7e3c.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/2b2cd1de-c592-48eb-bde6-6f82ea745b02/dc4cc893a0fa4f48a754cee887f502d4.flac
