Block,Treatment,Plot,SMR,SNR,Slope (%),Aspect (degrees),Mesoslope,Exposure,Humus Form,Humus Thickness (cm),Ae / Ah,A thickness (cm),Soil Texture,Mineral Soil Depth,Rooting Depth,Coarse Fragment (%),Gleying / Mottling,Gleying Depth (cm),Root Restricting Layer,Root Restricting Depth (cm),Canopy,Vegetation,Notes
DOC213,FR,DOC213_FR_C,4-,C,0,NA,Level,,Moder,5 - 7,Ah,1,L-SiL,,,45,No,,,,,At; Sali sp; Pli; Sx; Alnu sp; Ribe lac; Loni inv; Rosa aci,"Fairly well developed shrub layer including large willows, soils intermediately dark w/charcoal. Slashy."
DOC213,FR,DOC213_FR_N,3+,C-,,,Level,,Moder,2 - 3,,0,,,,40,No,,,,,Bl; Pli; At; Alnu sp; Rubu par; Rosa aci; Linn bor; Corn can; Spir sp; Vacc sp; Ribe lac; Diph sp; Aral nud; Vacc cea; Vacc mem,Similar to W plot; lighter soils. Well developed alder and regen.
DOC213,FR,DOC213_FR_NW,3+,C-,,,Level,,Moder,,,,,,,,No,,,,At,,Soils and veg similar to N plot.
DOC213,FR,DOC213_FR_S,3+,C-,,,Level,,Moder,,,,,,,,No,,,,,Ep; Sali sp; Pli; Sx; Bl; Linn bor; Vacc ces; Shep can; Rosa aci; Corn can; Spir bet,Soils similar to other plots in treatment.
DOC213,FR,DOC213_FR_SE,3,B+,15,135,Mid,,Moder,,,0,,,,55,No,,Yes,30,,Sali sp; Alnu sit; Spir bet; Lath och; Clin uni; Vacc mem; Loni inv; Amel aln; Rubu par; Aral nud; Corn can; Vacc cae; Rubu pub; Maho aqu,"Similar to S plot. Above drainage. Light, shallow, coarse soils."
DOC213,FR,DOC213_FR_W,3+,C,0,NA,Level,,Moder,5 - 7,,0,SiL,,,35,No,,Yes,30,,Pli; Bl; Sx; At; Act; Alnu sit; Sali sp; Rubu pub; Equi sp; Spir dou; Spir bet; Loni inv; Rosa aci; Aral nud,Well developed veg. including At.
DOC213,HR,DOC213_HR_C,4,C,,,Level,,Moder,3,,,,,30,,No,,Yes,30,,Peta pal; Vacc cae; Spir sp; Equi sp; Linn bor,Similar to N plot; slightly darker soils.
DOC213,HR,DOC213_HR_N,4,B,,,Level,,Moder,7 - 10,,,L-SiL,,20,50,No,,Yes,20,At,At; Sx; Pli; Bl; Sali sp; Amel aln; Spir sp; Rosa aci; Loni inv; Rubu ida; Ribe lac; Maia rac,Intermediate-light coloured soils.
DOC213,HR,DOC213_HR_NW,5,C,,,Level,,Moder,,Ah,< 1,,,,,Light,< 30,,,,At; Sx; Bl; Pli; Alnu sp; Equi sp; Ribe lac; Rosa aci; Spir sp; Linn bor,Similar soils to other plots. Less At regen and alder; scattered Equi sp.
DOC213,HR,DOC213_HR_S,5,C,,,Level,,Moder,,Ah,< 1,L-SiL,,,,Light,< 30,,,,Alnu sit; At; Vacc mem; Chim umb; Clin uni; Vibu edu,Soils similar (cf and texture) to other HR plots; shrub layer more developed.
DOC213,HR,DOC213_HR_SE,5,C,,,Level,,Moder,,,,,,,,Light,< 30,,,,,Similar to HR-S plot (veg. and soils); less alder. Light mottling.
DOC213,HR,DOC213_HR_W,5,C,,,Level,,Moder,,Ah,< 1,,,,,Light,< 30,,,,At; Alnu sp; Linn bor; Spir sp,Similar to other HR plots; soils slightly darker.
DOC213,LR,DOC213_LR_C,3,B+,20,180,Mid,,Moder,3,Ah,< 1,L-SiL,,30,40,No,,Yes,30,,Clad sp,Vegetation is similar to W plot; w/ Cladina spp.
DOC213,LR,DOC213_LR_N,3,B,20,180,Upper-Mid,,Moder,2 - 3,Ae,< 1,L-SiL,,30,50,No,,Yes,30,,,Vegetation is similar to W plot; more Shep can. Dry with compact soils.
DOC213,LR,DOC213_LR_NW,3,B,15,180,Upper-Mid,,Moder,,,,,,,,No,,,,,Vacc mem; Shep can; Amel aln; Chim umb,"Soils similar to N plot; coarse, light, and shallow."
DOC213,LR,DOC213_LR_S,5-,C+,10,300,Depression,,Moder,5 - 7,Ah,3 - 5,SiL-SiCL,> 50,,40,No,,,,,Ep; Sx; At; Pli; Bl; Spir bet; Rosa aci; Rubu ped; Loni inv; Cala can; Shep can; Lath och,"Darker, deeper, wetter soils. More productive."
DOC213,LR,DOC213_LR_SE,3,C,20,300,Upper,,Moder,5 - 7,,0,SiL,50,,35,No,,,,,Pli; Bl; Sx; At; Fdi; Vacc mem; Sorb sco; Amel aln; Cala can; Mela pra; Lath och,"Light, dry soils. Less productive. Nearing crest."
DOC213,LR,DOC213_LR_W,3,B,25,180,Mid,,Moder,2,Ae,5,L-SiL,,30,45,No,,Yes,30,,Pli; Bl; At; Sali sp; Amel aln; Rosa aci; Vacc cae; Shep can; Rubu par; Spir dou; Diph sp,
DOC213,NT,DOC213_NT_C,3,B+,22,150,Mid,,Moder,5,Ae,20,L,45,45,30,No,,Yes,45,,,
DOC213,NT,DOC213_NT_N,,,,,,,,,,,,,,,No,,,,,,Missing.
