organization,project,project_id,location,location_id,recording_date_time,recording_id,task_method,task_id,is_complete,species_code,species_common_name,species_scientific_name,species_class,detection_time,task_duration,tag_duration,min_tag_freq,max_tag_freq,tag_id,individual_order,vocalization,abundance,tag_rating,tag_is_verified,clip_channel_used,observer,observer_id,verifier_id,needs_review,left_full_freq_tag_rms_peak_dbfs,left_full_freq_tag_rms_trough_dbfs,left_full_freq_tag_pk_count,left_full_freq_tag_dc_offset,left_full_freq_tag_min_level,left_full_freq_tag_max_level,left_full_freq_tag_peak_level_dbfs,left_freq_filter_tag_rms_peak_dbfs,left_freq_filter_tag_rms_trough_dbfs,left_freq_filter_tag_pk_count,left_freq_filter_tag_dc_offset,left_freq_filter_tag_min_level,left_freq_filter_tag_max_level,left_freq_filter_tag_peak_level_dbfs,right_full_freq_tag_rms_peak_dbfs,right_full_freq_tag_rms_trough_dbfs,right_full_freq_tag_pk_count,right_full_freq_tag_dc_offset,right_full_freq_tag_min_level,right_full_freq_tag_max_level,right_full_freq_tag_peak_level_dbfs,right_freq_filter_tag_rms_peak_dbfs,right_freq_filter_tag_rms_trough_dbfs,right_freq_filter_tag_pk_count,right_freq_filter_tag_dc_offset,right_freq_filter_tag_min_level,right_freq_filter_tag_max_level,right_freq_filter_tag_peak_level_dbfs,tagged_in_wildtrax,media_url,spectrogram_url,clip_url
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2023,2346,DOC213-FR-C,492653,2023-06-02 04:44:00,1009567,1SPT,962390,t,WAVI,Warbling Vireo,VIREO GILVUS,Aves,0.14,180.00,2.50,1.03kHz,6.90kHz,3977935,1,Song,1,3,t,2,Bronwyn Robinson,533,2731,f,-30.95,-36.63,2,0.019522,-0.00943,0.042633,-27.41,-53.03,-58.01,2,0,-0.008667,0.008484,-41.24,-25.7,-30.88,2,0.03647,0.000336,0.083435,-21.57,-49.71,-56.21,2,-0.000001,-0.019379,0.011383,-34.25,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=962390,https://wildtrax-aru.s3-accelerate.amazonaws.com/3e8827c4-b74f-4e79-8839-20f32662c53a/9c6185057b0b4954b6ce74e5f5e15d41.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/3e8827c4-b74f-4e79-8839-20f32662c53a/aa96e943cc8049979ea00096178b44d1.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2023,2346,DOC213-FR-C,492653,2023-06-02 04:44:00,1009567,1SPT,962390,t,WAVI,Warbling Vireo,VIREO GILVUS,Aves,2.06,180.00,3.28,1.39kHz,6.18kHz,3977938,2,Song,1,3,t,1,Bronwyn Robinson,533,2731,f,-29.02,-38.16,2,0.019293,-0.032227,0.051666,-25.74,-52.06,-59.25,2,-0.000001,-0.010468,0.008911,-39.6,-25.12,-30.79,2,0.036665,-0.010132,0.084778,-21.43,-51.57,-57.56,2,0,-0.012115,0.008728,-38.33,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=962390,https://wildtrax-aru.s3-accelerate.amazonaws.com/3e8827c4-b74f-4e79-8839-20f32662c53a/33893a399c0646dd845423a7cbeaf120.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/3e8827c4-b74f-4e79-8839-20f32662c53a/8a782c13e8244f1d81f6cd00e43eb6fa.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2023,2346,DOC213-FR-C,492653,2023-06-02 04:44:00,1009567,1SPT,962390,t,WAVI,Warbling Vireo,VIREO GILVUS,Aves,5.56,180.00,2.29,1.34kHz,6.33kHz,3977941,3,Song,1,3,t,2,Bronwyn Robinson,533,2731,f,-26,-37.39,2,0.019238,-0.028137,0.076111,-22.37,-55.96,-59.27,2,0,-0.00589,0.006531,-43.7,-23.83,-30.71,2,0.03694,-0.0271,0.09671,-20.29,-53.55,-57.67,2,-0.000001,-0.009186,0.007294,-40.74,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=962390,https://wildtrax-aru.s3-accelerate.amazonaws.com/3e8827c4-b74f-4e79-8839-20f32662c53a/a99cdd628c94472fb51589ef2128b157.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/3e8827c4-b74f-4e79-8839-20f32662c53a/9d04d4f01fe34255877dcba506625508.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2023,2346,DOC213-FR-C,492653,2023-06-02 04:44:00,1009567,1SPT,962390,t,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,Aves,12.08,180.00,2.29,3.35kHz,5.82kHz,3977946,1,Song,1,,t,2,Bronwyn Robinson,533,15,f,-26.78,-36.99,3,0.01951,-0.042633,0.069489,-23.16,-51.15,-63.3,2,0,-0.008362,0.009033,-40.88,-24.6,-30.42,2,0.036669,-0.029388,0.099609,-20.03,-49.54,-62.06,2,0,-0.009735,0.008759,-40.23,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=962390,https://wildtrax-aru.s3-accelerate.amazonaws.com/3e8827c4-b74f-4e79-8839-20f32662c53a/c75de62c54e34516b5c5710d6a0174bb.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/3e8827c4-b74f-4e79-8839-20f32662c53a/8943acce17f449728437bcae22680378.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2023,2346,DOC213-FR-C,492653,2023-06-02 04:44:00,1009567,1SPT,962390,t,DEJU,Dark-eyed Junco,JUNCO HYEMALIS,Aves,13.58,180.00,6.43,2.52kHz,6.08kHz,3977943,1,Song,1,,t,2,Bronwyn Robinson,533,15,f,-26.78,-38.6,3,0.019474,-0.042633,0.069489,-23.16,-53.11,-61.46,2,0,-0.008667,0.009216,-40.71,-24.64,-30.44,2,0.036925,-0.024017,0.099609,-20.03,-49.53,-59.94,2,0,-0.011261,0.009918,-38.97,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=962390,https://wildtrax-aru.s3-accelerate.amazonaws.com/3e8827c4-b74f-4e79-8839-20f32662c53a/03d70ced309246719deee7a3d5512285.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/3e8827c4-b74f-4e79-8839-20f32662c53a/9a3001f2f8cc438aa4b00ab1c8e88642.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2023,2346,DOC213-FR-C,492653,2023-06-02 04:44:00,1009567,1SPT,962390,t,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,Aves,13.78,180.00,3.71,2.16kHz,4.12kHz,3977948,2,Song,1,,t,2,Bronwyn Robinson,533,15,f,-27.19,-38.6,3,0.019376,-0.042633,0.069489,-23.16,-54.58,-62.59,2,0,-0.006409,0.006348,-43.86,-24.64,-30.44,2,0.03677,-0.024017,0.09317,-20.61,-49.66,-60.78,2,0,-0.018463,0.012817,-34.67,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=962390,https://wildtrax-aru.s3-accelerate.amazonaws.com/3e8827c4-b74f-4e79-8839-20f32662c53a/e1b928186c2c49efb75773e0d4ef9bd5.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/3e8827c4-b74f-4e79-8839-20f32662c53a/ba32e05b3b6f4e068b5f47a2c3ee1ec4.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2023,2346,DOC213-FR-C,492653,2023-06-02 04:44:00,1009567,1SPT,962390,t,RUGR,Ruffed Grouse,BONASA UMBELLUS,Aves,16.34,180.00,8.51,0.01kHz,0.34kHz,3977959,1,Non-vocal,1,,t,1,Eric Pollard,2731,15,f,-28.06,-37.8,2,0.019493,-0.0336,0.078796,-22.07,-28.62,-38.45,5,-0.018308,-0.070129,0.028168,-23.08,-23.73,-30.82,2,0.036873,-0.020172,0.106354,-19.46,-24.28,-31.39,14,-0.034631,-0.09726,0.013977,-20.24,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=962390,https://wildtrax-aru.s3-accelerate.amazonaws.com/3e8827c4-b74f-4e79-8839-20f32662c53a/4c2c487931274c89a3979632f047ff4f.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/3e8827c4-b74f-4e79-8839-20f32662c53a/78d56140cb5646b396bc7e35c73286f6.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2023,2346,DOC213-FR-C,492653,2023-06-02 04:44:00,1009567,1SPT,962390,t,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,Aves,16.98,180.00,2.95,1.70kHz,4.53kHz,3977951,3,Song,1,,t,1,Bronwyn Robinson,533,15,f,-30.72,-36.55,2,0.019506,-0.01355,0.056213,-25,-52.88,-61.1,2,0,-0.010651,0.009979,-39.45,-25.74,-30.31,2,0.03677,-0.005829,0.073364,-22.69,-51.64,-58.99,2,0,-0.010864,0.010437,-39.28,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=962390,https://wildtrax-aru.s3-accelerate.amazonaws.com/3e8827c4-b74f-4e79-8839-20f32662c53a/20ada7bbc3d44f9eb015658805364905.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/3e8827c4-b74f-4e79-8839-20f32662c53a/2f6c039294f54c5fa8afd3581ddf93fd.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2023,2346,DOC213-FR-C,492653,2023-06-02 04:44:00,1009567,1SPT,962390,t,SWTH,Swainson's Thrush,CATHARUS USTULATUS,Aves,73.80,180.00,1.48,0.72kHz,5.67kHz,3977956,1,Song,1,,f,2,Bronwyn Robinson,533,,f,-27.84,-37.98,2,0.019579,-0.013397,0.063782,-23.91,-54.42,-58.44,2,-0.000002,-0.014069,0.006714,-37.03,-25.4,-31.15,2,0.036623,-0.011597,0.082245,-21.7,-49.86,-57.14,2,-0.000001,-0.0112,0.01178,-38.58,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=962390,https://wildtrax-aru.s3-accelerate.amazonaws.com/3e8827c4-b74f-4e79-8839-20f32662c53a/eaa7b8b2ff57461c95d2211e5870b3d0.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/3e8827c4-b74f-4e79-8839-20f32662c53a/a9d678c8097f49398d63c802f4235f19.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2023,2346,DOC213-FR-C,492653,2023-06-02 05:14:00,1009661,1SPT,962482,t,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,Aves,0.05,180.00,1.04,2.63kHz,3.76kHz,4018040,1,Song,1,,t,2,Michelle Knaggs,900,15,f,-15.9,-31.66,2,0.01996,-0.242188,0.339386,-9.39,-32.79,-57.01,2,-0.000002,-0.043182,0.043121,-27.29,-11.01,-29.21,2,0.035544,-0.311096,0.533142,-5.46,-31.59,-56.46,2,0,-0.042053,0.041992,-27.52,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=962482,https://wildtrax-aru.s3-accelerate.amazonaws.com/5ae1acfb-4edc-44cc-b8ec-9689a23d60c4/7d30107cbe534025b6396a4024638a69.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/5ae1acfb-4edc-44cc-b8ec-9689a23d60c4/1d99daefa9714a9bac44289a9d022f8d.flac
