"","organization","project","project_id","location","location_id","recording_date_time","recording_id","task_method","task_id","is_complete","species_code","species_common_name","species_scientific_name","species_class","detection_time","task_duration","tag_duration","min_tag_freq","max_tag_freq","tag_id","individual_order","vocalization","abundance","tag_rating","tag_is_verified","clip_channel_used","observer","observer_id","verifier_id","needs_review","left_full_freq_tag_rms_peak_dbfs","left_full_freq_tag_rms_trough_dbfs","left_full_freq_tag_pk_count","left_full_freq_tag_dc_offset","left_full_freq_tag_min_level","left_full_freq_tag_max_level","left_full_freq_tag_peak_level_dbfs","left_freq_filter_tag_rms_peak_dbfs","left_freq_filter_tag_rms_trough_dbfs","left_freq_filter_tag_pk_count","left_freq_filter_tag_dc_offset","left_freq_filter_tag_min_level","left_freq_filter_tag_max_level","left_freq_filter_tag_peak_level_dbfs","right_full_freq_tag_rms_peak_dbfs","right_full_freq_tag_rms_trough_dbfs","right_full_freq_tag_pk_count","right_full_freq_tag_dc_offset","right_full_freq_tag_min_level","right_full_freq_tag_max_level","right_full_freq_tag_peak_level_dbfs","right_freq_filter_tag_rms_peak_dbfs","right_freq_filter_tag_rms_trough_dbfs","right_freq_filter_tag_pk_count","right_freq_filter_tag_dc_offset","right_freq_filter_tag_min_level","right_freq_filter_tag_max_level","right_freq_filter_tag_peak_level_dbfs","tagged_in_wildtrax","media_url","spectrogram_url","clip_url"
"1","CANFOR","Interior Broadleaf Working Group ARU Monitoring 2023",2346,"DOC213-FR-C",492653,"2023-06-03 05:13:00",2876427,"1SPT",2604048,"t","WAVI","Warbling Vireo","VIREO GILVUS","Aves",18.71,180,2.29,"1.55kHz","6.54kHz",5241902,1,"Song",1,NA,"f",2,"Leonard Patterson",2623,NA,"f",-32.78,-36.3,2,0.019269,-0.001465,0.04422,-27.09,-43.71,-60.17,2,0,-0.017822,0.018372,-34.72,-27.7,-29.57,2,0.036784,0.014526,0.062012,-24.15,-42.63,-59.83,2,-1e-06,-0.023468,0.023865,-32.44,"t","https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2604048","https://wildtrax-aru.s3-accelerate.amazonaws.com/8923506b-4883-469e-b64b-629078f8ecc2/cd56608082af45ff91ad1f15a3f8e015.jpg","https://wildtrax-aru.s3-accelerate.amazonaws.com/8923506b-4883-469e-b64b-629078f8ecc2/e7e98156618b49c8a6b02dc920d99131.flac"
"2","CANFOR","Interior Broadleaf Working Group ARU Monitoring 2023",2346,"DOC213-FR-C",492653,"2023-06-03 05:13:00",2876427,"1SPT",2604048,"t","SWTH","Swainson's Thrush","CATHARUS USTULATUS","Aves",21.01,180,1.58,"0.77kHz","7.52kHz",5241903,1,"Song",1,NA,"f",1,"Leonard Patterson",2623,NA,"f",-32.86,-35.22,2,0.019298,-0.007904,0.043671,-27.2,-42.27,-57.56,2,-2e-06,-0.023254,0.022461,-32.67,-27.95,-29.13,2,0.036749,0.012115,0.060455,-24.37,-42.63,-55.79,2,-3e-06,-0.023468,0.020752,-32.59,"t","https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2604048","https://wildtrax-aru.s3-accelerate.amazonaws.com/8923506b-4883-469e-b64b-629078f8ecc2/4ecb7dda60094e16a4b1fc15797be308.jpg","https://wildtrax-aru.s3-accelerate.amazonaws.com/8923506b-4883-469e-b64b-629078f8ecc2/267a1fb3d34b4b5f8c60eaaa5a2cda3a.flac"
"3","CANFOR","Interior Broadleaf Working Group ARU Monitoring 2023",2346,"DOC213-FR-C",492653,"2023-06-03 05:13:00",2876427,"1SPT",2604048,"t","WTSP","White-throated Sparrow","ZONOTRICHIA ALBICOLLIS","Aves",32.83,180,0.6,"3.81kHz","4.58kHz",5242039,1,"Song",1,NA,"f",1,"Leonard Patterson",2623,NA,"f",-32.89,-35.6,2,0.018899,0.003601,0.035095,-29.1,-53.34,-57.71,3,0,-0.003998,0.004059,-47.83,-28.21,-29.17,2,0.036703,0.023987,0.053589,-25.42,-50.67,-54.09,2,0,-0.005219,0.005188,-45.65,"t","https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2604048","https://wildtrax-aru.s3-accelerate.amazonaws.com/8923506b-4883-469e-b64b-629078f8ecc2/d8b5419547a34d4a99685d1bbc441e8b.jpg","https://wildtrax-aru.s3-accelerate.amazonaws.com/8923506b-4883-469e-b64b-629078f8ecc2/64c6b00386234393933fce26376d1d86.flac"
"4","CANFOR","Interior Broadleaf Working Group ARU Monitoring 2023",2346,"DOC213-FR-C",492653,"2023-06-03 05:13:00",2876427,"1SPT",2604048,"t","ALFL","Alder Flycatcher","EMPIDONAX ALNORUM","Aves",65.09,180,0.34,"1.75kHz","3.45kHz",5241906,1,"Song",1,NA,"f",1,"Leonard Patterson",2623,NA,"f",-33.81,-34.61,2,0.019291,0.005463,0.031494,-30.04,-55.82,-59.3,2,-2e-06,-0.005066,0.00531,-45.5,-28.53,-28.83,2,0.037029,0.022308,0.048676,-26.25,-55.07,-57.2,2,-3e-06,-0.007629,0.00528,-42.35,"t","https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2604048","https://wildtrax-aru.s3-accelerate.amazonaws.com/8923506b-4883-469e-b64b-629078f8ecc2/a459aa68f3014b02b2140f4cbac0aa11.jpg","https://wildtrax-aru.s3-accelerate.amazonaws.com/8923506b-4883-469e-b64b-629078f8ecc2/246e7fe8286a41968bfb23bed132d3ce.flac"
"5","CANFOR","Interior Broadleaf Working Group ARU Monitoring 2023",2346,"DOC213-FR-C",492653,"2023-06-03 05:13:00",2876427,"1SPT",2604048,"t","WTSP","White-throated Sparrow","ZONOTRICHIA ALBICOLLIS","Aves",71.16,180,0.41,"4.43kHz","5.36kHz",5242034,2,"Song",1,NA,"f",2,"Leonard Patterson",2623,NA,"f",-33.57,-34.74,2,0.019239,-0.007233,0.047852,-26.4,-50.36,-53.86,3,0,-0.006104,0.006104,-44.29,-28.38,-28.75,2,0.037004,0.0112,0.064697,-23.78,-50.37,-54.71,2,0,-0.006287,0.006134,-44.03,"t","https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2604048","https://wildtrax-aru.s3-accelerate.amazonaws.com/8923506b-4883-469e-b64b-629078f8ecc2/30b8935f06814d948c4ce9a4db6aeaa9.jpg","https://wildtrax-aru.s3-accelerate.amazonaws.com/8923506b-4883-469e-b64b-629078f8ecc2/755a849a7c034214b136a6c4e17b56d7.flac"
"6","CANFOR","Interior Broadleaf Working Group ARU Monitoring 2023",2346,"DOC213-FR-C",492653,"2023-06-03 05:13:00",2876427,"1SPT",2604048,"t","WAVI","Warbling Vireo","VIREO GILVUS","Aves",85.35,180,0.4,"3.76kHz","5.92kHz",5241907,2,"Song",1,NA,"f",1,"Leonard Patterson",2623,NA,"f",-32.42,-35.2,2,0.018738,0.005371,0.037323,-28.56,-52.8,-59.51,3,0,-0.007446,0.00766,-42.32,-28.47,-29.29,2,0.036509,0.021118,0.053986,-25.35,-52.72,-58.99,2,-1e-06,-0.00766,0.007172,-42.32,"t","https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2604048","https://wildtrax-aru.s3-accelerate.amazonaws.com/8923506b-4883-469e-b64b-629078f8ecc2/0ca6340a9e8f435b833a7d17896ac80c.jpg","https://wildtrax-aru.s3-accelerate.amazonaws.com/8923506b-4883-469e-b64b-629078f8ecc2/4afa52d8ce3f44478c656eb9324145d1.flac"
"7","CANFOR","Interior Broadleaf Working Group ARU Monitoring 2023",2346,"DOC213-FR-C",492653,"2023-06-03 05:13:00",2876427,"1SPT",2604048,"t","WTSP","White-throated Sparrow","ZONOTRICHIA ALBICOLLIS","Aves",99.44,180,1.06,"3.19kHz","3.97kHz",5242037,3,"Song",1,NA,"f",1,"Leonard Patterson",2623,NA,"f",-33.42,-35.05,2,0.019381,0.003296,0.032959,-29.64,-56.4,-62.62,2,0,-0.004639,0.004608,-46.67,-28.32,-29.14,3,0.036791,0.015167,0.05658,-24.95,-58.39,-62.83,2,0,-0.004059,0.00415,-47.64,"t","https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2604048","https://wildtrax-aru.s3-accelerate.amazonaws.com/8923506b-4883-469e-b64b-629078f8ecc2/7536ff8e71c54160b6843702a7e7e999.jpg","https://wildtrax-aru.s3-accelerate.amazonaws.com/8923506b-4883-469e-b64b-629078f8ecc2/174707d1b3fa4a81ac4147683d9f02fd.flac"
"8","CANFOR","Interior Broadleaf Working Group ARU Monitoring 2023",2346,"DOC213-FR-C",492653,"2023-06-03 05:13:00",2876427,"1SPT",2604048,"t","OCWA","Orange-crowned Warbler","LEIOTHLYPIS CELATA","Aves",131.78,180,1.05,"4.53kHz","7.16kHz",5241905,1,"Song",1,NA,"f",2,"Leonard Patterson",2623,NA,"f",-32.59,-35.56,2,0.019205,0.003326,0.033051,-29.62,-54.08,-64.99,2,0,-0.006287,0.006134,-44.03,-28.31,-29.2,2,0.036628,0.019684,0.052887,-25.53,-51.11,-64.34,2,0,-0.008667,0.008575,-41.24,"t","https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2604048","https://wildtrax-aru.s3-accelerate.amazonaws.com/8923506b-4883-469e-b64b-629078f8ecc2/78a6dff0748e4099a4c901ae0552d842.jpg","https://wildtrax-aru.s3-accelerate.amazonaws.com/8923506b-4883-469e-b64b-629078f8ecc2/993b1d4b6c3b49a3bdb3480a0cea614f.flac"
"9","CANFOR","Interior Broadleaf Working Group ARU Monitoring 2023",2346,"DOC213-FR-C",492653,"2023-06-03 05:13:00",2876427,"1SPT",2604048,"t","WTSP","White-throated Sparrow","ZONOTRICHIA ALBICOLLIS","Aves",172.23,180,1.66,"1.65kHz","3.40kHz",5242033,4,"Song",1,NA,"f",1,"Leonard Patterson",2623,NA,"f",-30.47,-36.82,2,0.019408,-0.033539,0.065521,-23.67,-33.17,-54.31,2,0,-0.043243,0.043121,-27.28,-27.72,-29.46,2,0.036556,-0.002289,0.073975,-22.62,-36.93,-54.17,2,-1e-06,-0.02887,0.028931,-30.77,"t","https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2604048","https://wildtrax-aru.s3-accelerate.amazonaws.com/8923506b-4883-469e-b64b-629078f8ecc2/1084de5f81044b24acbaccd02cd7a5d8.jpg","https://wildtrax-aru.s3-accelerate.amazonaws.com/8923506b-4883-469e-b64b-629078f8ecc2/4ae42c4d8a4b481a9869d15fa0c6fedf.flac"
"10","CANFOR","Interior Broadleaf Working Group ARU Monitoring 2023",2346,"DOC213-FR-C",492653,"2023-06-05 05:12:00",2756180,"1SPT",2498333,"t","LISP","Lincoln's Sparrow","MELOSPIZA LINCOLNII","Aves",0.01,180,1.14,"3.45kHz","5.46kHz",5187112,1,"Song",1,NA,"f",2,"Leonard Patterson",2623,NA,"f",-33.13,-35.33,2,0.019426,0.0065,0.035583,-28.98,-62.4,-65.54,2,0,-0.003448,0.003479,-49.17,-28.02,-29.08,2,0.037165,0.024261,0.051514,-25.76,-61.35,-65.28,2,0,-0.005768,0.005432,-44.78,"t","https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2498333","https://wildtrax-aru.s3-accelerate.amazonaws.com/34f284b4-a61c-4f78-b306-09d65d589ec5/365b624bfea3472dac8b9faf4ebdbb50.jpg","https://wildtrax-aru.s3-accelerate.amazonaws.com/34f284b4-a61c-4f78-b306-09d65d589ec5/be6c5e032a2c44dda0c08fd431362e99.flac"
