location,recording_date_time,task_method,recording_sample_frequency,task_duration,task_is_complete,observer,task_comments,internal_task_id
DOC266-HR-C, 2024-06-10 05:08:00,1SPT,32000,180.00,t,Leonard Patterson,,2499559
MUS061A-HR-C, 2024-06-12 05:08:00,1SPT,32000,180.00,f,Leonard Patterson,,2603301
MUS061A-LR-C, 2024-06-12 05:08:00,1SPT,32000,180.00,f,Leonard Patterson,,2603302
MUS111-FR-C, 2024-06-13 05:07:00,1SPT,32000,180.00,f,Leonard Patterson,,2603305
MUS111-HR-C, 2024-06-06 04:40:00,1SPT,32000,180.00,f,Leonard Patterson,,2603306
MUS111-HR-C, 2024-06-05 04:41:00,1SPT,32000,180.00,f,Leonard Patterson,,2603307
MUS111-FR-C, 2024-06-12 05:08:00,1SPT,32000,180,t,Leonard Patterson,USE RM,2603303
MUS111-HR-C, 2024-06-07 04:40:00,1SPT,32000,180.00,f,Leonard Patterson,,2603309
MUS111-HR-C, 2024-06-08 04:39:00,1SPT,32000,180.00,f,Leonard Patterson,,2603310
MUS111-HR-C, 2024-06-09 04:39:00,1SPT,32000,180.00,f,Leonard Patterson,,2603311
MUS111-HR-C, 2024-06-12 04:38:00,1SPT,32000,180.00,f,Leonard Patterson,,2603312
MUS111-HR-C, 2024-06-13 05:07:00,1SPT,32000,180.00,f,Leonard Patterson,,2603315
MUS111-LR-C, 2024-06-12 05:08:00,1SPT,32000,180.00,f,Leonard Patterson,,2603316
MUS113-LR-C, 2024-06-12 04:38:00,1SPT,32000,180.00,f,Leonard Patterson,,2603318
MUS111-NT-C, 2024-06-12 05:08:00,1SPT,32000,180.00,f,Leonard Patterson,,2603319
MUS113-NT-C, 2024-06-12 04:38:00,1SPT,32000,180.00,f,Leonard Patterson,,2603321
MUS113-LR-C, 2024-06-12 05:08:00,1SPT,32000,180.00,f,Leonard Patterson,,2603322
MUS124-HR-C, 2024-06-12 04:38:00,1SPT,32000,180.00,f,Leonard Patterson,,2603324
MUS113-NT-C, 2024-06-12 05:08:00,1SPT,32000,180.00,f,Leonard Patterson,,2603325
MUS124-HR-C, 2024-06-12 05:08:00,1SPT,32000,180.00,f,Leonard Patterson,,2603328
DOC213-NT-C, 2024-06-12 05:08:00,1SPT,32000,180,f,Leonard Patterson,,2605065
DOC213-NT-C, 2024-06-06 05:10:00,1SPT,32000,180,f,Leonard Patterson,,2605064
DOC266-LR-C, 2024-06-03 05:13:00,1SPT,32000,180,f,Leonard Patterson,,2605073
DOC266-LR-C, 2024-06-12 05:08:00,1SPT,32000,180,f,Leonard Patterson,,2605074
MUS061A-FR-C, 2024-06-09 05:09:00,1SPT,32000,180,t,Leonard Patterson,,2605077
DOC266-LR-C, 2024-06-09 04:09:00,1SPT,32000,180,f,Leonard Patterson,,2605081
DOC266-LR-C, 2024-06-09 04:39:00,1SPT,32000,180,f,Leonard Patterson,,2605082
DOC266-FR-C, 2024-06-11 21:42:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428553
MUS155-NT-C, 2024-06-28 07:11:00,1SPT,32000,180.00,t,Enid Cumming,,1428554
MUS113-LR-C, 2024-06-28 04:41:00,1SPT,32000,180.00,t,Kelsey Bell,,1428555
DOC213-NT-C, 2024-06-14 07:07:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428556
MUS155-HR-C, 2024-07-06 04:47:00,1SPT,32000,180.00,t,Marcus Sommers,,1428557
MUS113-NT-C, 2024-06-22 22:46:00,1SPT,32000,180.00,t,Meredith Stoesz,,1428558
MUS155-HR-C, 2024-06-27 22:46:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428559
MUS111-HR-C, 2024-06-10 22:41:00,1SPT,32000,180.00,t,Meredith Stoesz,,1428560
DOC266-NT-C, 2024-07-02 21:44:00,1SPT,32000,180.00,t,Meredith Stoesz,,1428561
DOC266-FR-C, 2024-06-21 22:46:00,1SPT,32000,180.00,t,Marcus Sommers,,1428562
DOC213-HR-C, 2024-06-26 04:10:00,1SPT,32000,180.00,t,Marcus Sommers,,1428563
DOC266-LR-C, 2024-06-21 21:46:00,1SPT,32000,180.00,t,Marcus Sommers,,1428564
MUS155-NT-C, 2024-06-19 05:07:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428565
MUS111-NT-C, 2024-07-04 07:15:00,1SPT,32000,180.00,t,Enid Cumming,windy,1428566
MUS124-HR-C, 2024-06-14 21:44:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428567
MUS124-HR-C, 2024-06-25 07:09:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428568
MUS155-NT-C, 2024-06-21 21:46:00,1SPT,32000,180.00,t,Marcus Sommers,,1428569
MUS061A-FR-C, 2024-06-14 04:07:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428570
DOC266-LR-C, 2024-07-23 21:22:00,1SPT,32000,180.00,t,Enid Cumming,,1428571
MUS111-HR-C, 2024-06-29 04:11:00,1SPT,32000,180.00,t,Marcus Sommers,,1428572
MUS111-HR-C, 2024-07-09 21:40:00,1SPT,32000,180.00,t,Marcus Sommers,,1428573
DOC213-HR-C, 2024-06-23 06:08:00,1SPT,32000,180.00,t,Kelsey Bell,,1428574
MUS111-HR-C, 2024-06-20 04:07:00,1SPT,32000,180.00,t,Kelsey Bell,,1428575
MUS124-NT-C, 2024-07-01 22:45:00,1SPT,32000,180.00,t,Marcus Sommers,,1428576
MUS111-FR-C, 2024-07-06 06:17:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428577
MUS113-NT-C, 2024-06-14 04:37:00,1SPT,32000,180.00,t,Marcus Sommers,,1428578
DOC266-HR-C, 2024-06-18 22:46:00,1SPT,32000,180.00,t,Marcus Sommers,,1428579
DOC266-NT-C, 2024-07-15 22:33:00,1SPT,32000,180.00,t,Alana Demko,,1428580
DOC213-HR-C, 2024-06-27 21:46:00,1SPT,32000,180.00,t,Marcus Sommers,,1428581
MUS111-NT-C, 2024-06-16 21:45:00,1SPT,32000,180.00,t,Enid Cumming,,1428582
DOC213-LR-C, 2024-06-03 21:34:00,1SPT,32000,180.00,t,Marcus Sommers,,1428583
