location,recording_date_time,task_method,recording_sample_frequency,task_duration,task_is_complete,observer,task_comments,internal_task_id
DOC213-FR-C, 2025-06-07 05:12:00,1SPT,32000,180,t,Leonard Patterson,,2622019
MUS061A-FR-C, 2025-06-10 05:09:00,1SPT,32000,180,t,Leonard Patterson,,2622044
MUS124-FR-C, 2025-06-04 05:12:00,1SPT,32000,180,t,Leonard Patterson,,2622069
MUS124-HR-C, 2025-06-04 05:12:00,1SPT,32000,180,t,Leonard Patterson,,2622074
MUS061A-HR-C, 2025-06-07 05:10:00,1SPT,32000,180,t,Leonard Patterson,,2622047
MUS061A-LR-C, 2025-06-04 05:12:00,1SPT,32000,180,t,Leonard Patterson,,2622050
DOC213-HR-C, 2025-06-07 05:12:00,1SPT,32000,180,t,Leonard Patterson,,2622023
MUS111-FR-C, 2025-06-10 05:09:00,1SPT,32000,180,t,Leonard Patterson,,2622054
DOC213-NT-C, 2025-06-04 05:14:00,1SPT,32000,180,t,Leonard Patterson,,2622028
MUS155-FR-C, 2025-06-10 05:08:00,1SPT,32000,180,t,Leonard Patterson,USE RM,2622081
MUS155-HR-C, 2025-06-10 05:08:00,1SPT,32000,180,t,Leonard Patterson,,2622084
DOC266-FR-C, 2025-06-04 05:14:00,1SPT,32000,180,t,Leonard Patterson,,2622031
DOC266-LR-C, 2025-06-04 05:14:00,1SPT,32000,180,t,Leonard Patterson,,2622037
MUS111-HR-C, 2025-06-07 05:10:00,1SPT,32000,180,t,Leonard Patterson,,2622057
MUS113-LR-C, 2025-06-04 05:12:00,1SPT,32000,180,t,Leonard Patterson,,2622064
DOC213-HR-C, 2025-06-04 05:14:00,1SPT,32000,180,t,Leonard Patterson,,2622020
MUS113-NT-C, 2025-06-10 05:09:00,1SPT,32000,180,t,Leonard Patterson,,2622070
MUS124-FR-C, 2025-06-07 05:10:00,1SPT,32000,180,t,Leonard Patterson,,2622071
MUS124-FR-C, 2025-06-10 05:09:00,1SPT,32000,180,t,Leonard Patterson,,2622072
MUS155-FR-C, 2025-06-07 05:10:00,1SPT,32000,180,t,Leonard Patterson,,2622080
MUS124-HR-C, 2025-06-10 05:09:00,1SPT,32000,180,t,Leonard Patterson,,2622075
MUS124-NT-C, 2025-06-10 05:09:00,1SPT,32000,180,t,Leonard Patterson,USE LM,2622078
DOC213-LR-C, 2025-06-04 05:14:00,1SPT,32000,180,t,Leonard Patterson,,2622025
MUS061A-FR-C, 2025-06-07 05:10:00,1SPT,32000,180,t,Leonard Patterson,,2622045
MUS061A-LR-C, 2025-06-07 05:10:00,1SPT,32000,180,t,Leonard Patterson,,2622049
DOC213-NT-C, 2025-06-07 05:12:00,1SPT,32000,180,t,Leonard Patterson,,2622029
MUS155-LR-C, 2025-06-04 05:12:00,1SPT,32000,180,t,Leonard Patterson,,2622085
DOC266-HR-C, 2025-06-07 05:12:00,1SPT,32000,180,t,Leonard Patterson,,2622035
DOC266-HR-C, 2025-06-04 05:14:00,1SPT,32000,180,t,Leonard Patterson,USE RM,2622033
DOC266-LR-C, 2025-06-07 05:12:00,1SPT,32000,180,t,Leonard Patterson,,2622038
MUS111-FR-C, 2025-06-04 05:12:00,1SPT,32000,180,t,Leonard Patterson,,2622053
MUS111-LR-C, 2025-06-04 05:12:00,1SPT,32000,180,t,Leonard Patterson,,2622058
MUS111-NT-C, 2025-06-04 05:12:00,1SPT,32000,180,t,Leonard Patterson,,2622062
MUS111-NT-C, 2025-06-10 05:09:00,1SPT,32000,180,t,Leonard Patterson,,2622063
MUS113-NT-C, 2025-06-04 05:12:00,1SPT,32000,180,t,Leonard Patterson,,2622067
MUS124-NT-C, 2025-06-07 05:10:00,1SPT,32000,180,t,Leonard Patterson,USE LM,2622077
MUS155-FR-C, 2025-06-04 05:12:00,1SPT,32000,180,t,Leonard Patterson,USE RM,2622079
DOC213-HR-C, 2025-06-10 05:11:00,1SPT,32000,180,t,Leonard Patterson,,2622026
DOC213-LR-C, 2025-06-10 05:11:00,1SPT,32000,180,t,Leonard Patterson,,2622030
DOC266-FR-C, 2025-06-10 05:11:00,1SPT,32000,180,t,Leonard Patterson,,2622034
DOC266-LR-C, 2025-06-10 05:11:00,1SPT,32000,180,t,Leonard Patterson,,2622039
DOC266-NT-C, 2025-06-10 05:11:00,1SPT,32000,180,t,Leonard Patterson,,2622042
MUS061A-FR-C, 2025-06-04 05:12:00,1SPT,32000,180,t,Leonard Patterson,,2622043
MUS061A-HR-C, 2025-06-10 05:09:00,1SPT,32000,180,t,Leonard Patterson,,2622048
MUS111-FR-C, 2025-06-07 05:10:00,1SPT,32000,180,t,Leonard Patterson,,2622052
MUS111-HR-C, 2025-06-10 05:09:00,1SPT,32000,180,t,Leonard Patterson,,2622056
MUS155-LR-C, 2025-06-07 05:10:00,1SPT,32000,180,t,Leonard Patterson,,2622086
MUS111-LR-C, 2025-06-07 05:10:00,1SPT,32000,180,t,Leonard Patterson,,2622059
MUS111-NT-C, 2025-06-07 05:10:00,1SPT,32000,180,t,Leonard Patterson,,2622061
MUS113-LR-C, 2025-06-10 05:09:00,1SPT,32000,180,t,Leonard Patterson,,2622066
MUS113-NT-C, 2025-06-07 05:10:00,1SPT,32000,180,t,Leonard Patterson,,2622068
MUS124-HR-C, 2025-06-07 05:10:00,1SPT,32000,180,t,Leonard Patterson,,2622073
MUS155-HR-C, 2025-06-07 05:10:00,1SPT,32000,180,t,Leonard Patterson,,2622083
DOC266-NT-C, 2025-06-04 05:14:00,1SPT,32000,180,t,Leonard Patterson,,2622041
DOC213-FR-C, 2025-06-10 05:11:00,1SPT,32000,180,t,Leonard Patterson,,2622022
MUS061A-HR-C, 2025-06-04 05:12:00,1SPT,32000,180,t,Leonard Patterson,,2622046
DOC213-LR-C, 2025-06-07 05:12:00,1SPT,32000,180,t,Leonard Patterson,,2622024
DOC213-NT-C, 2025-06-10 05:11:00,1SPT,32000,180,t,Leonard Patterson,,2622027
DOC266-FR-C, 2025-06-07 05:12:00,1SPT,32000,180,t,Leonard Patterson,,2622032
DOC266-HR-C, 2025-06-10 05:11:00,1SPT,32000,180,t,Leonard Patterson,,2622036
MUS061A-LR-C, 2025-06-10 05:09:00,1SPT,32000,180,t,Leonard Patterson,,2622051
MUS111-HR-C, 2025-06-04 05:12:00,1SPT,32000,180,t,Leonard Patterson,,2622055
MUS113-LR-C, 2025-06-07 05:10:00,1SPT,32000,180,t,Leonard Patterson,,2622065
MUS155-NT-C, 2025-06-10 05:08:00,1SPT,32000,180,t,Leonard Patterson,,2622569
MUS155-NT-C, 2025-06-07 05:10:00,1SPT,32000,180,t,Leonard Patterson,,2622570
MUS155-LR-C, 2025-06-10 05:08:00,1SPT,32000,180,t,Leonard Patterson,,2622567
MUS155-NT-C, 2025-06-04 05:12:00,1SPT,32000,180,t,Leonard Patterson,,2622568
MUS111-LR-C, 2025-06-12 05:08:00,1SPT,32000,180,t,Leonard Patterson,,2773562
DOC213-FR-C, 2025-06-09 05:11:00,1SPT,32000,180,t,Leonard Patterson,,2773563
DOC266-NT-C, 2025-06-06 05:13:00,1SPT,32000,180,t,Leonard Patterson,,2755787
MUS155-HR-C, 2025-06-05 05:11:00,1SPT,32000,180,t,Leonard Patterson,,2755786
MUS124-NT-C, 2025-06-04 05:12:00,1SPT,32000,180,t,Leonard Patterson,USE LM,2622076
